Adip1,,,Adip2,,,Adip3,,,Adip4,,
Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC
,,,PLD1,1.09E-61,1.89,ALPL,1.83E-07,2.79,,,
,,,PSD3,1.13E-61,1.41,ST3GAL1,1.84E-07,0.85,,,
,,,PAPPA,1.40E-61,3.57,CPD,1.96E-07,1.72,,,
,,,MAMDC2-AS1,1.41E-61,3.47,CADM1,2.41E-07,1.31,,,
,,,ZBTB16,1.48E-61,1.34,NOP58,2.82E-07,1.09,,,
,,,FILIP1L,1.81E-61,1.37,DDAH1,2.87E-07,2.50,,,
,,,VPS13C,3.71E-61,1.36,ZFP36L1,3.34E-07,1.09,,,
,,,PIAS1,5.01E-61,1.33,CHI3L2,4.01E-07,3.13,,,
,,,AFF1,7.30E-61,1.28,CCDC107,5.38E-07,0.96,,,
,,,BAZ2B,8.19E-61,1.30,FNDC4,5.38E-07,1.11,,,
,,,AC001226.2,2.44E-60,1.43,GRHL1,6.45E-07,2.91,,,
,,,EYS,3.24E-60,1.43,CHSY3,6.94E-07,1.26,,,
,,,MAML2,5.11E-60,1.26,ZFAND3,7.14E-07,0.57,,,
,,,PDE3A,8.61E-60,1.61,JUN,7.20E-07,1.51,,,
,,,NDFIP1,9.46E-60,1.40,LAMB1,7.24E-07,0.77,,,
,,,FAM110B,9.75E-60,2.50,DUSP1,7.90E-07,0.90,,,
,,,FBLN1,1.37E-59,2.28,STIM1,8.21E-07,0.98,,,
,,,SEC24D,1.75E-59,1.83,MCL1,8.49E-07,1.39,,,
,,,TTC28,3.95E-59,1.25,NEK6,9.16E-07,1.62,,,
,,,ARHGAP21,3.95E-59,1.24,ZNRF2,9.20E-07,1.53,,,
,,,SLC25A12,4.24E-59,1.57,PCSK7,9.35E-07,0.98,,,
,,,C20orf194,7.60E-59,1.49,SFMBT2,1.23E-06,1.49,,,
,,,RIC1,1.00E-58,1.35,AK4,1.66E-06,0.95,,,
,,,ABHD15-AS1,1.52E-58,1.62,CEBPD,1.72E-06,1.09,,,
,,,KMT2E,2.60E-58,1.24,IL17RA,1.94E-06,1.23,,,
,,,SPAG9,2.86E-58,1.26,ADAMTS15,1.94E-06,1.39,,,
,,,SEPT7,3.85E-58,1.47,MIR22HG,1.97E-06,0.80,,,
,,,NCOA1,1.51E-57,1.21,ALAS1,2.00E-06,2.44,,,
,,,DLEU2,1.96E-57,1.40,FP671120.1,2.03E-06,0.80,,,
,,,GLS,2.55E-57,1.49,SHOC2,2.24E-06,0.88,,,
,,,FKBP5,3.85E-57,1.46,S100A10,2.32E-06,1.55,,,
,,,FRYL,4.24E-57,1.41,UBR5,2.58E-06,0.70,,,
,,,PLSCR4,4.32E-57,1.49,FLOT2,2.67E-06,1.71,,,
,,,HGSNAT,5.41E-57,1.40,NDRG1,2.83E-06,1.81,,,
,,,MGP,5.64E-57,1.61,PHYKPL,2.97E-06,0.72,,,
,,,AFF4,5.98E-57,1.25,RUFY3,3.07E-06,0.91,,,
,,,PKD2,6.12E-57,1.46,CDKL1,3.08E-06,1.36,,,
,,,AC012404.1,6.50E-57,2.05,CSF1,3.47E-06,1.67,,,
,,,PAN3,8.03E-57,1.22,GRAMD1A,3.68E-06,1.45,,,
,,,TLE4,8.74E-57,1.49,RSU1,3.69E-06,0.75,,,
,,,ARGLU1,9.81E-57,1.19,SLC16A7,4.13E-06,0.71,,,
,,,ZNF521,1.33E-56,1.48,SLC2A5,4.25E-06,1.60,,,
,,,LMO3,1.57E-56,1.58,PCSK5,4.25E-06,0.69,,,
,,,MUSK,2.27E-56,3.80,PLXNA4,4.37E-06,0.64,,,
,,,REV3L,2.41E-56,1.21,HNRNPM,4.71E-06,0.86,,,
,,,DANT2,3.48E-56,1.38,LIMK2,4.82E-06,1.71,,,
,,,MYO1D,3.89E-56,2.38,COL5A2,6.06E-06,0.85,,,
,,,GFPT2,4.42E-56,3.07,ID4,6.16E-06,2.11,,,
,,,ESYT2,6.31E-56,1.31,CHI3L1,6.78E-06,3.20,,,
,,,PDE1A,9.15E-56,1.51,NAP1L1,7.48E-06,0.99,,,
,,,CAB39L,1.33E-55,2.26,MCAM,8.61E-06,0.73,,,
,,,AGAP1,1.45E-55,1.26,TCF7L2,8.80E-06,0.67,,,
,,,C1S,2.73E-55,1.37,FBXL5,9.25E-06,0.84,,,
,,,EPN2,3.68E-55,1.47,LINC00513,9.48E-06,1.01,,,
,,,PHF3,5.43E-55,1.29,UGP2,9.82E-06,0.80,,,
,,,CREBZF,6.37E-55,1.43,EGFLAM,1.01E-05,1.26,,,
,,,BOD1L1,7.46E-55,1.48,MAT2A,1.05E-05,1.02,,,
,,,MTUS1,9.26E-55,1.47,PITPNB,1.05E-05,0.83,,,
,,,WIPF1,2.02E-54,2.31,EYA2,1.07E-05,0.74,,,
,,,IQGAP1,2.58E-54,1.31,TNFRSF1A,1.15E-05,0.97,,,
,,,FTX,3.80E-54,0.95,AASS,1.17E-05,0.85,,,
,,,SPRED1,1.38E-53,1.54,ATP1A1,1.33E-05,1.45,,,
,,,SLC4A7,1.38E-53,1.66,SND1,1.33E-05,0.76,,,
,,,ABI2,1.65E-53,1.55,MIDN,1.36E-05,1.56,,,
,,,TPST1,2.17E-53,1.77,IFNGR1,1.50E-05,0.95,,,
,,,C1RL,2.50E-53,1.42,FSIP1,1.56E-05,2.27,,,
,,,WDFY3,2.50E-53,1.21,ADCY5,1.71E-05,0.81,,,
,,,MRC2,3.29E-53,2.14,HSPD1,1.75E-05,1.10,,,
,,,CADPS2,4.54E-53,2.01,MITF,1.79E-05,0.95,,,
,,,WASHC1,4.99E-53,1.19,DCAF5,1.90E-05,0.80,,,
,,,IFI16,7.27E-53,1.79,MAP4K3,1.90E-05,0.77,,,
,,,PTPRA,8.53E-53,1.21,ATR,1.93E-05,0.91,,,
,,,SPTAN1,1.24E-52,1.78,GPHN,1.93E-05,0.65,,,
,,,RASSF8,1.52E-52,1.64,CAST,1.97E-05,0.68,,,
,,,PALLD,1.60E-52,1.24,PHLDB1,1.97E-05,0.68,,,
,,,IPO9-AS1,1.71E-52,1.42,HNRNPR,1.99E-05,0.82,,,
,,,RASA1,1.80E-52,1.20,HIVEP2,1.99E-05,1.10,,,
,,,AFDN,2.55E-52,1.34,FAM241A,2.09E-05,1.56,,,
,,,DYNC2H1,3.23E-52,1.36,SPSB1,2.13E-05,1.32,,,
,,,RBL2,7.04E-52,1.30,NOCT,2.29E-05,1.78,,,
,,,LDB2,7.36E-52,2.60,HP,2.83E-05,2.59,,,
,,,ZNF721,9.08E-52,1.20,CLIC4,3.02E-05,1.16,,,
,,,PDXDC1,9.34E-52,1.14,SIDT2,3.03E-05,1.14,,,
,,,LUC7L3,1.89E-51,1.13,TOP1,3.10E-05,0.83,,,
