stage,factors,n_factors,youth_restoration_pct_excl,youth_restoration_pct_incl,empirical_clock_rev_yr_excl,empirical_clock_rev_yr_incl,senmayo_shift_excl,senmayo_shift_incl,GJA1_shift,SCN5A_shift,KCNJ2_shift,KCNH2_shift,KCNQ1_shift,CACNA1C_shift,ATP2A2_shift,RYR2_shift,latent_mahalanobis_dist,provenance,stage_rank
Stage3_Quads,CREB1+HIF1A+YY1+JUND,4,3.4986,3.6129,0.1694,0.188,0.00463,0.00463,-0.00332,0.02152,-0.00111,0.00135,0.00241,0.0841,0.02357,0.00341,0.1299,COMPUTED_HCA_5307_vCM_RIDGE_GRN,182.0
Stage3_Quads,MITF+YY1+JUND+SP3,4,3.4839,3.5742,-0.1408,-0.1285,0.00604,0.00604,0.00356,0.01661,-0.00583,-0.00063,-0.00015,0.04708,0.01791,0.00029,0.1882,COMPUTED_HCA_5307_vCM_RIDGE_GRN,183.0
Stage3_Quads,CTCF+CREB1+YY1+JUND,4,3.4786,3.526,0.1993,0.1924,0.00452,0.00452,-0.00367,0.05787,-0.00115,0.0007,-0.00153,0.09932,0.02852,0.00046,0.139,COMPUTED_HCA_5307_vCM_RIDGE_GRN,184.0
Stage3_Quads,CREB1+HIF1A+JUND+NFIC,4,3.4758,3.5842,0.1705,0.1871,0.00286,0.00286,-0.00016,0.0139,-0.0009,0.00279,0.00634,0.04282,0.01641,0.0062,0.1309,COMPUTED_HCA_5307_vCM_RIDGE_GRN,185.0
Stage3_Quads,CREB1+HIF1A+JUND+SP3,4,3.4473,3.5708,0.1533,0.1793,0.00376,0.00376,-0.00189,0.01261,-0.00559,0.00195,0.0044,0.04853,0.01279,0.00519,0.1299,COMPUTED_HCA_5307_vCM_RIDGE_GRN,186.0
Stage3_Quads,CREB1+REL+YY1+NFIC,4,3.4298,3.4683,0.2103,0.1923,0.00031,0.00031,-0.00503,0.02651,-0.0002,0.00711,0.00362,0.06152,0.02727,0.00423,0.1485,COMPUTED_HCA_5307_vCM_RIDGE_GRN,187.0
Stage3_Quads,MITF+JUND+SP3+NFIC,4,3.387,3.4714,-0.146,-0.1359,0.00439,0.00439,0.00648,0.009,-0.00566,0.00057,0.00315,0.00872,0.00986,0.00262,0.1815,COMPUTED_HCA_5307_vCM_RIDGE_GRN,188.0
Stage3_Quads,CREB1+REL+SP3+NFIC,4,3.3724,3.4201,0.1923,0.1816,-0.00046,-0.00046,-0.00409,0.01669,-0.00555,0.00755,0.00515,0.02572,0.01481,0.00569,0.1533,COMPUTED_HCA_5307_vCM_RIDGE_GRN,189.0
Stage3_Quads,CREB1+REL+YY1+SP3,4,3.3594,3.413,0.1879,0.1793,0.0013,0.0013,-0.00716,0.02375,-0.00576,0.00613,0.00125,0.06439,0.02177,0.00291,0.1454,COMPUTED_HCA_5307_vCM_RIDGE_GRN,190.0
Stage3_Quads,CREB1+REL+JUND+NFIC,4,3.228,3.267,0.1688,0.1609,0.00191,0.00191,-0.00276,0.00499,-0.00126,0.00604,0.00231,0.02359,0.0195,0.00322,0.1392,COMPUTED_HCA_5307_vCM_RIDGE_GRN,191.0
Stage3_Quads,CREB1+REL+YY1+JUND,4,3.2076,3.2525,0.1639,0.158,0.00368,0.00368,-0.00584,0.01186,-0.00147,0.00461,-0.00164,0.06211,0.02643,0.00042,0.1345,COMPUTED_HCA_5307_vCM_RIDGE_GRN,192.0
Stage3_Quads,HIF1A+YY1+JUND+NFIC,4,3.1798,3.2583,0.2421,0.2542,0.0013,0.0013,-0.00021,0.01923,-0.00099,0.00185,0.00601,0.08152,0.00606,0.00442,0.1241,COMPUTED_HCA_5307_vCM_RIDGE_GRN,193.0
Stage3_Quads,CREB1+REL+JUND+SP3,4,3.1772,3.2314,0.15,0.1515,0.00286,0.00286,-0.00446,0.00364,-0.00581,0.00517,0.0003,0.02899,0.01625,0.00217,0.1371,COMPUTED_HCA_5307_vCM_RIDGE_GRN,194.0
Stage3_Quads,HIF1A+YY1+JUND+SP3,4,3.1131,3.2069,0.2216,0.2431,0.00218,0.00218,-0.00184,0.01705,-0.00561,0.00101,0.00407,0.08446,0.00248,0.0034,0.1222,COMPUTED_HCA_5307_vCM_RIDGE_GRN,195.0
Stage3_Quads,HIF1A+YY1+SP3+NFIC,4,3.1078,3.1951,0.2696,0.279,-0.00144,-0.00144,-0.00119,0.03096,-0.00535,0.00337,0.00891,0.08331,-0.00164,0.00692,0.1453,COMPUTED_HCA_5307_vCM_RIDGE_GRN,196.0
Stage3_Quads,CTCF+JUND+SP3+NFIC,4,3.1045,3.1253,0.2729,0.2668,0.00015,0.00015,0.00065,0.05587,-0.00567,0.00149,0.00292,0.07089,-0.00093,0.00243,0.1206,COMPUTED_HCA_5307_vCM_RIDGE_GRN,197.0
Stage3_Quads,CREB1+YY1+SP3+NFIC,4,3.0908,3.1376,0.1523,0.1351,0.00056,0.00056,-0.00559,0.02807,-0.00555,0.00365,0.00514,0.05056,0.01438,0.00569,0.135,COMPUTED_HCA_5307_vCM_RIDGE_GRN,198.0
Stage3_Quads,CTCF+YY1+JUND+NFIC,4,3.0547,3.0663,0.2649,0.2514,0.00097,0.00097,-0.00047,0.05449,-0.00106,0.00113,0.00157,0.09446,0.01114,0.00111,0.1194,COMPUTED_HCA_5307_vCM_RIDGE_GRN,199.0
