source,target,coef
TNFRSF25,EGFL7,0.1267070204913764
TNFRSF25,CDKN1C,0.1270769684674026
TNFRSF25,VWF,0.12743130447440104
TNFRSF25,ITGA6,0.14107732334046338
PLEKHG5,TXNIP,0.1050695548670545
PLEKHG5,ABLIM1,0.10574643023152291
PLEKHG5,APP,0.1065460861666406
PLEKHG5,MACF1,0.10723355579477903
PLEKHG5,CFLAR,0.11094301695327109
NOL9,NFIA,0.16519619824965034
NOL9,ARID1B,0.16572106937698133
NOL9,LAMA2,0.16733737566821127
NOL9,FTX,0.1705953360669311
NOL9,RERE,0.17088261858142384
TAS1R1,SORBS2,0.13347553341482607
TAS1R1,MYBPC3,0.13366768925275938
TAS1R1,FHL2,0.1349290999567545
TAS1R1,LDB3,0.1434665694272937
TAS1R1,TENM2,0.14814000711102626
ZBTB48,NFIA,0.12019630096126092
ZBTB48,PBX1,0.12086914819119428
ZBTB48,FTX,0.12383705562164352
ZBTB48,LUC7L3,0.12450657881506906
ZBTB48,TNRC6A,0.1413500901112401
KLHL21,ZBTB20,0.17354849512540435
KLHL21,FTX,0.1735901510035147
KLHL21,CELF2,0.17795046413498175
KLHL21,MALAT1,0.17855249273360033
KLHL21,AKAP13,0.18254393850808942
PHF13,CCL19,0.0838260656369724
PHF13,HNRNPA2B1,0.08663995626135255
PHF13,NCL,0.08804578361658766
PHF13,AC110615.1,0.09378334997145205
PHF13,OR52H1,0.09859215064473814
THAP3,TMEM59,0.11648475834369212
THAP3,RPS25,0.11798226860080263
THAP3,ITM2B,0.11908379433190233
THAP3,CNBP,0.11984114993237098
THAP3,CHCHD2,0.1201944921300895
DNAJC11,CTNNA3,0.3266523257892957
DNAJC11,ABLIM1,0.33369275210199634
DNAJC11,PDE4DIP,0.33738384114801706
DNAJC11,TTN,0.33778752825343494
DNAJC11,RYR2,0.35121729853639116
LINC01672,AC000068.3,0.13330644517615
LINC01672,SLCO1B3,0.14404157186616157
LINC01672,AC017100.1,0.20379911492047237
LINC01672,F13B,0.20393528005334874
LINC01672,AC022915.1,0.20393528005335018
AL591163.1,AC126177.8,0.13576625275330478
AL591163.1,AC005253.2,0.13576625275330487
AL591163.1,LINC01554,0.14362357010882518
AL591163.1,AL606970.4,0.14878786480024095
AL591163.1,AC104051.2,0.2353780320640188
CAMTA1-DT,STK33,0.09905429448137226
CAMTA1-DT,AKAP13,0.09937936872424831
CAMTA1-DT,TBC1D5,0.10066258168292884
